Compound,Smiles,pka,prot_smiles,deprot_smiles,acid_base_type,acid_base_string,prot_charge,deprot_charge,CH_strength,XH_strength,HBA_strength,Hyd_Apolar,Hyd_Polar,Hyd,NCCC,CCNC,CCCO,CCNN,NCCN,CNNC,CNCN,NCCO,CNCO,CNNN,NCNN,CCSO,NCSO,nA,nN,nD,nC,nF,nQ,nG,nH,nI,nP,nL,nK,nM,nT,nY,nV,nW,LipinskiFailures,nBase,ALogp2,nAcid,nRings4,nRings7,tpsaEfficiency,WTPT.5,PetitjeanNumber,MDEC.44,MDEO.11,MDEO.12,MDEN.11,MDEN.12,MDEN.13,MDEN.23,MDEN.33,khs.sCH3,khs.dCH2,khs.tCH,khs.dsCH,khs.sssCH,khs.ddC,khs.dssC,khs.aaaC,khs.sNH2,khs.ssNH2,khs.dNH,khs.ssNH,khs.aaNH,khs.sssNH,khs.dsN,khs.aaN,khs.sssN,khs.ddsN,khs.aasN,khs.ssssN,khs.sOH,khs.dO,khs.ssO,khs.aaO,khs.sF,khs.sPH2,khs.dsssP,khs.sSH,khs.dS,khs.ssS,khs.aaS,khs.dssS,khs.ddssS,khs.sCl,khs.sssdAs,khs.sBr,khs.sI,HybRatio,FMF,SC.6,VC.4,VC.6,VCH.4,VCH.7,C1SP1,C2SP1,C1SP2,C2SP2,C3SP2,C1SP3,C2SP3,C3SP3,C4SP3,nHBDon,nHBAcc,apol
3763,Cc1cn([C@@H]2C[C@@H](O)[C@H](CO)O2)c(=O)[nH]c1=S,8.800000191,Cc1cn([C@@H]2C[C@@H](O)[C@H](CO)O2)c(=O)[nH]c1=S,Cc1cn([C@@H]2C[C@@H](O)[C@H](CO)O2)c(=O)[n-]c1=S,acidic,A,0,-1,7.1728,2.6171,4.8052,0.525478011,-24.02454589,-21.14395315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.18892025,0,0,0,0.463328522,6.414569601,0.444444444,0,0.543690187,0.908560296,0,0,0,0.5,0,1,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.6,0.647058824,0,0,0,0,0.142389416,0,0,2,0,1,3,3,0,0,3,4,35.243102
3773,Cc1cnc(-c2ccccc2)c(=O)[nH]1,9.300000191,Cc1cnc(-c2ccccc2)c(=O)[nH]1,Cc1cnc(-c2ccccc2)c(=O)[n-]1,acidic,A,0,-1,4.8086,0.8949,2.3199,-1.941204589,-10.91500956,-11.89335564,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.61494169,0,0,0,0.245862903,6.028433406,0.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.090909091,0.857142857,0,0,0,0,0.046831732,0,0,2,7,1,1,0,0,0,1,2,29.02993
3806,Cc1csc(S(N)(=O)=O)n1,8.350000381,Cc1csc(S(N)(=O)=O)n1,Cc1csc(S([NH-])(=O)=O)n1,acidic,A,0,-1,2.4373,2.2494,2.5043,0.126959847,-11.5207696,-9.367327916,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.034225,0,0,0,0.616168356,5.327273283,0.4,0,0.5,0,0,0.333333333,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0.25,0.5,0.144337567,0.029444386,0.016127354,0,0.115819248,0,0,1,1,0,1,0,0,0,1,4,20.644758
3809,Cc1n[nH]c(=O)[nH]1,9.430000305,Cc1n[nH]c(=O)[nH]1,Cc1n[nH]c(=O)[n-]1,acidic,A,0,-1,1.8479,2.0559,2.4192,-0.522705545,-10.69495698,-10.62445029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10725625,0,0,0,0.621344641,8.704608677,0.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0.714285714,0,0,0,0,0.011410887,0,0,1,0,0,1,0,0,0,2,2,12.715965
3812,Cc1n[nH]nc1-c1ccccc1,9.109999657,Cc1n[nH]nc1-c1ccccc1,Cc1n[n-]nc1-c1ccccc1,acidic,A,0,-1,4.0252,0.843,1.8548,-1.827533461,-8.075382409,-8.246510516,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.43657444,0,0,0,0.261315641,8.997194115,0.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111111111,0.916666667,0,0,0,0,0.042971264,0,0,0,7,1,1,0,0,0,1,2,25.141137
3815,Cc1nc(-c2ccccc2)oc1O,8.93999958,Cc1nc(-c2ccccc2)oc1O,Cc1nc(-c2ccccc2)oc1[O-],acidic,A,0,-1,4.5463,1.0159,2.2322,-1.91042065,-11.16582218,-10.85031071,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.21162241,0,0,0,0.264247232,3.025732401,0.428571429,0,0,0.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.846153846,0,0,0,0,0.055933862,0,0,2,6,1,1,0,0,0,1,2,26.305137
3817,Cc1nc(=S)s[nH]1,5.179999828,CC1=NC(=S)S[NH2+]1,Cc1nc(=S)s[nH]1,acidic,A,0,-1,1.6327,0.81,1.5582,-0.255592734,-6.519407266,-6.56414914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.22166601,0,0,0,0.674412241,5.799917435,0.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.333333333,0.714285714,0,0,0,0,0.083852549,0,0,1,0,0,1,0,0,0,1,1,15.947172
3833,Cc1nc2c(=O)[nH]c(=O)[nH]c2n1C,6.199999809,Cc1nc2c(n1C)NC(=O)[NH2+]C2=O,Cc1nc2c(=O)[nH]c(=O)[nH]c2n1C,acidic,A,0,-1,3.5268,2.2312,3.7514,-1.665296367,-16.6915153,-16.45681166,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.44542276,0,0,0,0.463944283,12.29614722,0.5,0,0.25,0,0,0,0,1.190550789,0,2,0,0,0,0,0,0,2,0,0,0,0,2,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.285714286,0.692307692,0,0,0,0,0.125586288,0,0,3,1,0,1,0,0,0,2,3,23.658344
3890,Cc1nc2ccccc2[nH]c1=O,9.880000114,Cc1nc2ccccc2[nH]c1=O,Cc1nc2ccccc2[n-]c1=O,acidic,A,0,-1,4.2833,0.9609,2.2537,-1.847657744,-10.47012428,-11.41759082,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.95771204,0,0,0,0.285823773,6.094459053,0.333333333,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111111111,0.833333333,0,0,0,0,0.062129788,0,0,1,7,0,1,0,0,0,1,2,24.176344
3915,Cc1nnc(C)n1O,6.5,Cc1nnc(C)n1[OH2+],Cc1nnc(C)n1O,acidic,A,0,-1,3.6458,0.91,2.4456,-0.286161568,-10.89237572,-8.278369981,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.31181056,0,0,0,0.450561562,8.9522854,0.5,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.625,0,0,0,0,0.04236068,0,0,2,0,0,2,0,0,0,1,2,15.809551
3917,Cc1nnc(NS(=O)(=O)c2ccc(N)cc2)s1,5.340000153,Cc1nnc([NH2+]S(=O)(=O)c2ccc(N)cc2)s1,Cc1nnc(NS(=O)(=O)c2ccc(N)cc2)s1,acidic,A,0,-1,4.8754,2.5692,3.9504,-1.625621415,-17.87834608,-17.47055449,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12054784,0,0,0,0.49843622,11.49998726,0.5,0,0.5,0,0,0.396850263,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0.111111111,0.764705882,0.102062073,0.025499586,0.008499862,0,0.082394145,0,0,1,6,0,1,0,0,0,2,6,34.31193
3933,Cc1nonc1NS(=O)(=O)c1ccc(N)cc1,4,Cc1nonc1NS(=O)(=O)c1ccc(N)cc1,Cc1nonc1[N-]S(=O)(=O)c1ccc(N)cc1,acidic,A,0,-1,5.1203,2.582,4.2337,-1.743642447,-19.28563576,-17.62588432,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03888784,0,0,0,0.470345369,11.49316695,0.444444444,0,0.5,0.4,0,0.396850263,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0.111111111,0.764705882,0.102062073,0.025499586,0.008499862,0,0.049489536,0,0,1,7,0,1,0,0,0,2,4,32.21393
3934,Cc1oc2ccccc2c(=O)c1C(=O)c1cc(I)c(O)c(I)c1,4.889999866,Cc1oc2ccccc2c(=O)c1C(=O)c1cc(I)c(O)c(I)c1,Cc1oc2ccccc2c(=O)c1C(=O)c1cc(I)c([O-])c(I)c1,acidic,A,0,-1,6.2903,1.0168,3.033,-2.406811663,-16.27421128,-18.68102294,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,19.87465561,0,0,0,0.126930263,0,0.454545455,0,0.520020956,0.595275394,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0.058823529,0.739130435,0,0,0,0,0.189683381,0,0,0,13,3,1,0,0,0,1,3,50.49593
3935,Cc1oc2ccccc2c(=O)c1C(=O)c1ccc(O)cc1,7.739999771,Cc1oc2ccccc2c(=O)c1C(=O)c1ccc(O)cc1,Cc1oc2ccccc2c(=O)c1C(=O)c1ccc([O-])cc1,acidic,A,0,-1,7.2238,0.87,3.0463,-3.455783939,-16.45215105,-19.90793499,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.90122289,0,0,0,0.241043818,0,0.454545455,0,0.520020956,0.595275394,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.058823529,0.80952381,0,0,0,0,0.090616971,0,0,0,13,3,1,0,0,0,1,3,41.129516
3936,Cc1oc2ccccc2c1C(=O)c1cc(I)c(O)c(I)c1,5.199999809,Cc1oc2ccccc2c1C(=O)c1cc(I)c(O)c(I)c1,Cc1oc2ccccc2c1C(=O)c1cc(I)c([O-])c(I)c1,acidic,A,0,-1,5.8116,1.0031,2.4544,-2.275501912,-13.44873327,-15.72423518,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,20.90592729,0,0,0,0.1001048,0,0.5,0,0.166666667,0.353553391,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0625,0.761904762,0,0,0,0,0.244661682,0,0,0,12,3,1,0,0,0,1,2,47.93393
3937,Cc1oc2ccccc2c1C(=O)c1ccc(O)cc1,8.399999619,Cc1oc2ccccc2c1C(=O)c1ccc(O)cc1,Cc1oc2ccccc2c1C(=O)c1ccc([O-])cc1,acidic,A,0,-1,6.5151,0.8288,2.3517,-3.324450287,-12.90628585,-16.23073614,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.66837281,0,0,0,0.200096284,0,0.5,0,0.166666667,0.353553391,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0625,0.842105263,0,0,0,0,0.145595272,0,0,0,12,3,1,0,0,0,1,2,38.567516
3938,Cc1oc2ccccc2c1C(=O)c1cccc(O)c1,8.399999619,Cc1oc2ccccc2c1C(=O)c1cccc(O)c1,Cc1oc2ccccc2c1C(=O)c1cccc([O-])c1,acidic,A,0,-1,6.4592,0.8522,2.3416,-3.324521989,-12.8500956,-16.17461759,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.66837281,0,0,0,0.200096284,0,0.444444444,0,0.2,0.377964473,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0625,0.842105263,0,0,0,0,0.145595272,0,0,0,12,3,1,0,0,0,1,2,38.567516
3948,Clc1cc(-c2cn[nH]n2)ccn1,7.599999905,Clc1cc(-c2cn[nH]n2)ccn1,Clc1cc(-c2cn[n-]n2)ccn1,acidic,A,0,-1,3.1103,0.9756,2.3581,-1.712858509,-10.16214149,-10.36123327,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.67495364,0,0,0,0.302521482,11.9803006,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.916666667,0,0,0,0,0.051822456,0,0,3,3,1,0,0,0,0,1,3,22.233965
3953,Clc1ccc(-c2cn[nH]n2)cc1,8.460000038,Clc1ccc(-c2cn[nH]n2)cc1,Clc1ccc(-c2cn[n-]n2)cc1,acidic,A,0,-1,3.3764,0.9221,1.9348,-1.701195029,-8.797681644,-9.084273423,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.99790736,0,0,0,0.232202174,8.996736805,0.428571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.916666667,0,0,0,0,0.062052595,0,0,1,6,1,0,0,0,0,1,2,23.560758
3963,Clc1ccc(Cl)c(-c2cn[nH]n2)c1,8.170000076,Clc1ccc(Cl)c(-c2cn[nH]n2)c1,Clc1ccc(Cl)c(-c2cn[n-]n2)c1,acidic,A,0,-1,3.0867,0.9677,2.0177,-1.334345124,-9.370028681,-9.446391013,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.41,0,0,0,0.1951771,8.993334006,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.846153846,0,0,0,0,0.082132815,0,0,1,6,1,0,0,0,0,1,2,25.073965
3972,Clc1ccc2n[nH]nc2c1,7.699999809,Clc1ccc2n[nH]nc2c1,Clc1ccc2n[n-]nc2c1,acidic,A,0,-1,2.3158,0.9885,1.792,-1.606835564,-7.967829828,-8.352700765,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.21932681,0,0,0,0.271682699,9.133975247,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.9,0,0,0,0,0.072677355,0,0,0,6,0,0,0,0,0,1,2,18.707172
3975,Clc1cccc(-c2cn[nH]n2)c1,8.319999695,Clc1cccc(-c2cn[nH]n2)c1,Clc1cccc(-c2cn[n-]n2)c1,acidic,A,0,-1,3.3633,0.9218,1.9335,-1.70124283,-8.790463671,-9.080760038,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.99790736,0,0,0,0.232202174,8.995908614,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.916666667,0,0,0,0,0.062052595,0,0,1,6,1,0,0,0,0,1,2,23.560758
3976,Clc1cccc(-c2cn[nH]n2)c1Cl,8.06000042,Clc1cccc(-c2cn[nH]n2)c1Cl,Clc1cccc(-c2cn[n-]n2)c1Cl,acidic,A,0,-1,2.6114,0.9811,1.816,-1.334966539,-8.209847036,-8.324067878,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.41,0,0,0,0.1951771,8.994162197,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.846153846,0,0,0,0,0.082132815,0,0,1,6,1,0,0,0,0,1,2,25.073965
3993,Clc1ncnc2nc[nH]c12,7.75,Clc1ncnc2nc[nH]c12,Clc1ncnc2nc[n-]c12,acidic,A,0,-1,1.9718,1.0106,2.4561,-1.615057361,-10.19330784,-10.17440249,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.404496,0,0,0,0.353625746,12.15100389,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.9,0,0,0,0,0.071103409,0,0,2,1,0,0,0,0,0,1,3,17.380379
3997,Cn1c(=O)[nH]c2ncn(C)c2c1=O,8.649999619,Cn1c(=O)[nH]c2ncn(C)c2c1=O,Cn1c(=O)[n-]c2ncn(C)c2c1=O,acidic,A,0,-1,5.2896,1.1375,3.8655,-1.669216061,-17.40246176,-14.40559273,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37982569,0,0,0,0.403632637,12.52842022,0.5,0,0.25,0,0,0,0,1.519671371,0.333333333,2,0,0,0,0,0,0,2,0,0,0,0,1,0,0,1,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.285714286,0.692307692,0,0,0,0,0.09353511,0,0,2,1,0,0,0,0,0,1,3,23.658344
3998,Cn1c(=O)c2[nH]cnc2n(C)c1=O,7.710000038,Cn1c(=O)c2[nH]cnc2n(C)c1=O,Cn1c(=O)c2[n-]cnc2n(C)c1=O,acidic,A,0,-1,5.6626,1.0253,3.9442,-1.669861377,-17.7585086,-14.26830784,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37982569,0,0,0,0.403632637,12.51561413,0.2,0,0.25,0,0,0,0,1.373178096,0.5,2,0,0,0,0,0,0,2,0,0,0,0,1,0,0,1,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.285714286,0.692307692,0,0,0,0,0.089718847,0,0,2,1,0,0,0,0,0,1,3,23.658344
4008,Cn1c(=O)nc2sc(S(N)(=O)=O)nn2c1=O,7.300000191,Cn1c(=O)nc2sc(S([NH3+])(=O)=O)nn2c1=O,Cn1c(=O)nc2sc(S(N)(=O)=O)nn2c1=O,acidic,A,0,-1,2.9955,2.5454,3.7342,-1.366515296,-16.91637189,-15.28451243,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.29550096,0,0,0,0.631382904,15.17887468,0.428571429,0,1.220543201,0,0,0.516397779,0.40824829,2.149139864,0.5,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,2,0,0,4,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0.2,0.5625,0.144337567,0.029444386,0.016127354,0,0.180316254,0,0,0,0,0,0,0,0,0,1,7,26.641965
4009,Cn1c(=S)[nH]c2cc3c(cc21)CCCC3,10.77999973,Cn1c(=S)[nH]c2cc3c(cc21)CCCC3,Cn1c(=S)[n-]c2cc3c(cc21)CCCC3,acidic,A,0,-1,4.5647,0.7539,1.897,-1.681477055,-8.590105163,-9.476123327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.42850409,0,0,0,0.242150214,6.334704023,0.428571429,0,0,0,0,0,0,0.5,0,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.416666667,0.866666667,0,0,0,0,0.252855555,0,0,0,4,2,0,4,0,0,1,0,35.555102
4010,Cn1c(=S)[nH]c2cncnc21,7.480000019,Cn1c(=S)[nH]c2cncnc21,Cn1c(=S)[n-]c2cncnc21,acidic,A,0,-1,3.787,0.9148,2.999,-1.654899618,-12.64051147,-11.70757648,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.58502084,0,0,0,0.473344435,12.36728216,0.4,0,0,0,0,0,0,1.190550789,0,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.166666667,0.818181818,0,0,0,0,0.135381165,0,0,2,1,0,0,0,0,0,1,2,21.860758
4013,Cn1c(N)nc2nc[nH]c2c1=O,10.43000031,Cn1c(N)nc2nc[nH]c2c1=O,Cn1c(N)nc2nc[n-]c2c1=O,acidic,A,0,-1,3.1439,2.7979,4.1063,-1.86957457,-17.54354685,-16.56352772,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28611801,0,0,0,0.542755687,14.84387782,0.4,0,0,0,0,0.877205321,0.5,1.040041912,0,1,0,0,0,0,0,0,2,1,0,0,0,1,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0.75,0,0,0,0,0.064898865,0,0,2,1,0,0,0,0,0,2,4,21.529551
4035,Cn1cnc(NN=O)n1,5.480000019,Cn1cnc([NH2+]N=O)n1,Cn1cnc(NN=O)n1,acidic,A,0,-1,2.9798,1.1625,2.595,-0.648064054,-11.11500956,-8.826505736,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00266256,0,0,0,0.568046716,14.75464659,0.5,0,0,0,0,0,0,1.807204007,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0.555555556,0,0,0,0,0.018683447,0,0,0,0,0,0,0,0,0,1,3,14.915965
4036,Cn1cnc2[nH]c(=O)[nH]c(=O)c21,9.524999619,Cn1cnc2[nH]c(=O)[nH]c(=O)c21,Cn1cnc2[nH]c(=O)[n-]c(=O)c21,acidic,A,0,-1,3.0085,2.4233,3.6685,-1.906190249,-16.45640535,-16.52674474,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16842816,0,0,0,0.503104277,12.3178849,0.5,0,0.25,0,0,0,0,1.144714243,0,1,0,0,0,0,0,0,2,0,0,0,0,2,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0.75,0,0,0,0,0.083143889,0,0,2,1,0,0,0,0,0,2,3,20.564758
4037,Cn1cnc2[nH]c(=O)[nH]c(=S)c21,6.800000191,Cn1cnc2c1C(=S)[NH2+]C(=O)N2,Cn1cnc2[nH]c(=O)[nH]c(=S)c21,acidic,A,0,-1,2.6479,2.253,3.3645,-1.736448375,-14.72968451,-14.89032027,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.71479025,0,0,0,0.54146042,12.3178849,0.5,0,0,0,0,0,0,1.144714243,0,1,0,0,0,0,0,0,2,0,0,0,0,2,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.166666667,0.75,0,0,0,0,0.107686761,0,0,2,1,0,0,0,0,0,2,2,22.662758
4038,Cn1cnc2c(=O)[nH]c(=O)[nH]c21,8.324999809,Cn1cnc2c(=O)[nH]c(=O)[nH]c21,Cn1cnc2c(=O)[n-]c(=O)[nH]c21,acidic,A,0,-1,2.8282,2.3067,3.589,-1.907241874,-16.01438815,-16.24744264,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13337104,0,0,0,0.503104277,12.31428956,0.4,0,0.25,0,0,0,0,1.190550789,0,1,0,0,0,0,0,0,2,0,0,0,0,2,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0.75,0,0,0,0,0.083143889,0,0,2,1,0,0,0,0,0,2,3,20.564758
4039,Cn1cnc2c(=O)[nH]c(N)nc21,9.920000076,Cn1cnc2c(=O)[nH]c(N)nc21,Cn1cnc2c(=O)[n-]c(N)nc21,acidic,A,0,-1,2.7971,2.8368,4.0576,-1.869239962,-17.21037285,-15.93028203,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.45037521,0,0,0,0.542755687,14.84293795,0.4,0,0,0,0,1.10520945,0.25,1.190550789,0,1,0,0,0,0,0,0,2,1,0,0,0,1,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0.75,0,0,0,0,0.079637239,0,0,2,1,0,0,0,0,0,2,4,21.529551
